type,country,date_added,release_year,rating,duration,listed_in
Movie,United States,25-Sep-21,2020,PG-13,90 min,Documentaries
TV Show,South Africa,24-Sep-21,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
TV Show,,24-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
TV Show,,24-Sep-21,2021,TV-MA,1 Season,"Docuseries, Reality TV"
TV Show,India,24-Sep-21,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,,24-Sep-21,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
Movie,,24-Sep-21,2021,PG,91 min,Children & Family Movies
Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",24-Sep-21,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies"
TV Show,United Kingdom,24-Sep-21,2021,TV-14,9 Seasons,"British TV Shows, Reality TV"
Movie,United States,24-Sep-21,2021,PG-13,104 min,"Comedies, Dramas"
TV Show,,24-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
TV Show,,23-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Movie,"Germany, Czech Republic",23-Sep-21,2021,TV-MA,127 min,"Dramas, International Movies"
Movie,,22-Sep-21,2021,TV-PG,91 min,"Children & Family Movies, Comedies"
TV Show,,22-Sep-21,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
TV Show,United States,22-Sep-21,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas"
Movie,,22-Sep-21,2020,TV-MA,67 min,"Documentaries, International Movies"
TV Show,Mexico,22-Sep-21,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,,22-Sep-21,2021,TV-14,94 min,Thrillers
TV Show,,22-Sep-21,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
TV Show,,22-Sep-21,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
TV Show,Turkey,22-Sep-21,2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas"
Movie,,21-Sep-21,1996,TV-PG,161 min,"Comedies, International Movies"
Movie,,21-Sep-21,2021,TV-Y,61 min,Children & Family Movies
Movie,India,21-Sep-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies"
TV Show,Australia,21-Sep-21,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV"
Movie,,21-Sep-21,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals"
Movie,United States,20-Sep-21,2010,PG-13,103 min,Comedies
Movie,United States,19-Sep-21,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy"
Movie,"United States, India, France",19-Sep-21,2013,PG-13,106 min,Thrillers
Movie,,17-Sep-21,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies"
TV Show,,17-Sep-21,2021,TV-MA,1 Season,TV Comedies
TV Show,United Kingdom,17-Sep-21,2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies"
TV Show,,17-Sep-21,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
TV Show,,17-Sep-21,2020,TV-Y7,1 Season,Kids' TV
Movie,,17-Sep-21,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers"
Movie,,17-Sep-21,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies"
TV Show,Finland,16-Sep-21,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies"
Movie,"China, Canada, United States",16-Sep-21,2017,PG-13,96 min,"Action & Adventure, Dramas"
TV Show,India,16-Sep-21,2021,TV-Y7,3 Seasons,Kids' TV
TV Show,United States,16-Sep-21,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy"
Movie,United States,16-Sep-21,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas"
Movie,United States,16-Sep-21,1978,PG,116 min,"Dramas, Horror Movies, Thrillers"
Movie,United States,16-Sep-21,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers"
Movie,United States,16-Sep-21,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers"
Movie,,16-Sep-21,2021,PG,23 min,Documentaries
Movie,"South Africa, United States, Japan",16-Sep-21,2012,R,115 min,Action & Adventure
TV Show,,16-Sep-21,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,United States,16-Sep-21,2001,R,122 min,"Dramas, Thrillers"
TV Show,Nigeria,15-Sep-21,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas"
TV Show,India,15-Sep-21,2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,Japan,15-Sep-21,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies"
TV Show,United States,15-Sep-21,2021,TV-PG,6 Seasons,Reality TV
Movie,Japan,15-Sep-21,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies"
Movie,Japan,15-Sep-21,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies"
Movie,,15-Sep-21,2021,TV-PG,103 min,Children & Family Movies
TV Show,United Kingdom,15-Sep-21,2021,TV-Y,6 Seasons,Kids' TV
TV Show,India,15-Sep-21,2014,TV-G,1 Season,"Docuseries, International TV Shows"
TV Show,United States,15-Sep-21,1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies"
Movie,,15-Sep-21,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies"
TV Show,India,15-Sep-21,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
TV Show,,15-Sep-21,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
Movie,,14-Sep-21,2021,TV-Y,13 min,Children & Family Movies
TV Show,United Kingdom,14-Sep-21,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows"
Movie,Nigeria,14-Sep-21,2018,TV-MA,182 min,"Dramas, International Movies"
TV Show,,14-Sep-21,2021,TV-PG,2 Seasons,Reality TV
Movie,,14-Sep-21,2021,TV-G,106 min,Children & Family Movies
TV Show,Japan,14-Sep-21,2013,TV-14,1 Season,"Anime Series, International TV Shows"
Movie,,11-Sep-21,2021,TV-Y7,48 min,"Children & Family Movies, Comedies"
Movie,,11-Sep-21,2020,TV-14,145 min,"Comedies, Dramas, International Movies"
Movie,,11-Sep-21,2021,TV-14,145 min,"Comedies, Dramas, International Movies"
Movie,,10-Sep-21,2021,TV-Y7,93 min,Children & Family Movies
Movie,United States,10-Sep-21,2021,R,106 min,Action & Adventure
TV Show,United States,10-Sep-21,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
TV Show,,10-Sep-21,2021,TV-MA,1 Season,Reality TV
Movie,Nigeria,10-Sep-21,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas"
TV Show,,10-Sep-21,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
Movie,,10-Sep-21,2021,TV-MA,87 min,"International Movies, Thrillers"
TV Show,,10-Sep-21,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
Movie,,9-Sep-21,2021,PG-13,96 min,"Documentaries, Sports Movies"
TV Show,,9-Sep-21,2017,TV-Y7,4 Seasons,Kids' TV
Movie,"Spain, United States",9-Sep-21,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers"
Movie,France,9-Sep-21,2021,TV-14,92 min,"Documentaries, International Movies"
TV Show,Belgium,8-Sep-21,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
Movie,,8-Sep-21,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies"
Movie,"United Kingdom, United States",8-Sep-21,2018,PG,90 min,"Children & Family Movies, Comedies"
TV Show,"United States, United Kingdom",8-Sep-21,2021,TV-MA,3 Seasons,Reality TV
Movie,United States,7-Sep-21,2018,TV-MA,97 min,"Documentaries, Music & Musicals"
TV Show,United States,7-Sep-21,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy"
TV Show,United Kingdom,7-Sep-21,2021,TV-Y,1 Season,"British TV Shows, Kids' TV"
TV Show,"France, United States",7-Sep-21,2021,TV-MA,1 Season,"TV Comedies, TV Dramas"
TV Show,,7-Sep-21,2019,TV-Y7,2 Seasons,Kids' TV
Movie,United States,7-Sep-21,2021,TV-MA,80 min,"Documentaries, Sports Movies"
TV Show,,6-Sep-21,2021,TV-14,1 Season,"Docuseries, Science & Nature TV"
Movie,,6-Sep-21,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers"
TV Show,South Korea,6-Sep-21,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
Movie,India,5-Sep-21,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas"
TV Show,United States,5-Sep-21,2021,TV-G,5 Seasons,"Kids' TV, TV Comedies"
Movie,United States,4-Sep-21,2018,G,90 min,"Children & Family Movies, Dramas"
TV Show,Australia,3-Sep-21,2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows"
TV Show,Spain,3-Sep-21,2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,,3-Sep-21,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows"
TV Show,"United States, Singapore",3-Sep-21,2021,TV-Y,1 Season,Kids' TV
Movie,,3-Sep-21,2021,PG-13,119 min,Dramas
Movie,,2-Sep-21,2021,TV-PG,110 min,"Comedies, Romantic Movies"
Movie,India,2-Sep-21,1994,TV-14,143 min,"Dramas, International Movies, Thrillers"
